NAME,T,GENE,t0,t1
YAL013W,0,DEP1,-0.02,0.06
YNL097C,0,PHO23,0.47,-1.11
YNL068C,0,FKH2,,
YMR039C,0,SUB1,-0.26,-0.6
YDR146C,0,SWI5,0.16,0.74
YLR295C,0,ATP14,0.2,0.17
YPL031C,0,PHO85,0.13,0.01
YDR207C,0,UME6,0.14,-0.04
YLR229C,0,CDC42,0.32,0.7
YOL001W,0,PHO80,-0.09,0.16
YLR182W,0,SWI6,0.69,-1.02
YLR131C,0,ACE2,0.64,-0.15
YDR335W,0,MSN5,0.41,0.19
YLR103C,0,CDC45,-0.08,-0.61
YJL099W,0,CHS6,0.56,0.05
YER111C,0,SWI4,0.08,-0.42
YHR178W,0,STB5,1.78,
YGR044C,0,RME1,-1.25,-1.6
YFR034C,0,PHO4,0.29,-0.36
YDR310C,0,SUM1,-0.03,-0.01
YOL004W,0,SIN3,0.64,0.44
YGL167C,0,PMR1,0.02,0.4
YOR377W,0,ATF1,-0.42,-0.38
YBL008W,0,HIR1,0.0,0.16
YLR229C,1,CDC42,0.7,0.36
YLR295C,1,ATP14,0.17,-0.06
YDR146C,1,SWI5,0.74,0.72
YER111C,1,SWI4,-0.42,0.03
YMR039C,1,SUB1,-0.6,-0.08
YDR207C,1,UME6,-0.04,0.04
YJL099W,1,CHS6,0.05,0.07
YGR044C,1,RME1,-1.6,-1.74
YNL068C,1,FKH2,,
YGL167C,1,PMR1,0.4,0.07
YOR377W,1,ATF1,-0.38,-0.16
YPL031C,1,PHO85,0.01,0.37
YLR182W,1,SWI6,-1.02,0.14
YAL013W,1,DEP1,0.06,0.35
YFR034C,1,PHO4,-0.36,0.15
YDR335W,1,MSN5,0.19,0.0
YOL004W,1,SIN3,0.44,0.07
YLR131C,1,ACE2,-0.15,1.22
YLR103C,1,CDC45,-0.61,-0.36
YNL097C,1,PHO23,-1.11,0.29
YDR310C,1,SUM1,-0.01,-0.25
YHR178W,1,STB5,,-0.58
YOL001W,1,PHO80,0.16,-0.07
YBL008W,1,HIR1,0.16,-0.43
YDR310C,2,SUM1,-0.25,0.45
YPL031C,2,PHO85,0.37,-0.1
YDR335W,2,MSN5,0.0,-0.21
YLR131C,2,ACE2,1.22,0.75
YLR229C,2,CDC42,0.36,0.3
YOR377W,2,ATF1,-0.16,-0.34
YER111C,2,SWI4,0.03,0.01
YLR103C,2,CDC45,-0.36,-0.79
YLR182W,2,SWI6,0.14,-0.05
YJL099W,2,CHS6,0.07,0.21
YDR207C,2,UME6,0.04,-0.34
YLR295C,2,ATP14,-0.06,0.03
YGL167C,2,PMR1,0.07,-0.22
YBL008W,2,HIR1,-0.43,0.32
YDR146C,2,SWI5,0.72,1.0
YAL013W,2,DEP1,0.35,0.01
YNL097C,2,PHO23,0.29,-0.5
YNL068C,2,FKH2,,
YOL004W,2,SIN3,0.07,-0.03
YGR044C,2,RME1,-1.74,-1.79
YOL001W,2,PHO80,-0.07,0.45
YHR178W,2,STB5,-0.58,
YMR039C,2,SUB1,-0.08,-0.13
YFR034C,2,PHO4,0.15,-0.36
YHR178W,3,STB5,,
YNL097C,3,PHO23,-0.5,0.23
YOR377W,3,ATF1,-0.34,0.03
YBL008W,3,HIR1,0.32,-0.06
YOL001W,3,PHO80,0.45,-0.16
YDR310C,3,SUM1,0.45,0.19
YDR335W,3,MSN5,-0.21,0.01
YLR131C,3,ACE2,0.75,1.17
YGL167C,3,PMR1,-0.22,0.11
YPL031C,3,PHO85,-0.1,0.7
YFR034C,3,PHO4,-0.36,-0.09
YLR182W,3,SWI6,-0.05,-0.16
YLR103C,3,CDC45,-0.79,-0.31
YJL099W,3,CHS6,0.21,0.33
YNL068C,3,FKH2,,
YDR207C,3,UME6,-0.34,0.25
YGR044C,3,RME1,-1.79,-1.44
YMR039C,3,SUB1,-0.13,0.07
YOL004W,3,SIN3,-0.03,0.26
YLR229C,3,CDC42,0.3,-0.02
YLR295C,3,ATP14,0.03,0.15
YDR146C,3,SWI5,1.0,0.77
YER111C,3,SWI4,0.01,0.01
YAL013W,3,DEP1,0.01,-0.26
YER111C,4,SWI4,0.01,-0.04
YFR034C,4,PHO4,-0.09,-0.29
YGR044C,4,RME1,-1.44,-0.24
YDR335W,4,MSN5,0.01,-0.17
YPL031C,4,PHO85,0.7,-0.09
YAL013W,4,DEP1,-0.26,-0.07
YHR178W,4,STB5,,
YGL167C,4,PMR1,0.11,0.21
